0003|add [rbx],al
011c24|add [rsp],ebx
011c2500000000|add [0x0],ebx
011e|add [rsi],ebx
011f|add [rdi],ebx
0123|add [rbx],esp
012424|add [rsp],esp
01242500000000|add [0x0],esp
0126|add [rsi],esp
0127|add [rdi],esp
012b|add [rbx],ebp
012c24|add [rsp],ebp
012c2500000000|add [0x0],ebp
012e|add [rsi],ebp
012f|add [rdi],ebp
0133|add [rbx],esi
013424|add [rsp],esi
01342500000000|add [0x0],esi
0136|add [rsi],esi
0137|add [rdi],esi
013b|add [rbx],edi
013c24|add [rsp],edi
013c2500000000|add [0x0],edi
013e|add [rsi],edi
013f|add [rdi],edi
014500|add [rbp],eax
014d00|add [rbp],ecx
015d00|add [rbp],ebx
016500|add [rbp],esp
016d00|add [rbp],ebp
017500|add [rbp],esi
017d00|add [rbp],edi
01c0|add eax,eax
01c1|add ecx,eax
01c3|add ebx,eax
01c4|add esp,eax
01c5|add ebp,eax
01c6|add esi,eax
01c7|add edi,eax
01c8|add eax,ecx
01c9|add ecx,ecx
01cb|add ebx,ecx
01cc|add esp,ecx
01cd|add ebp,ecx
01ce|add esi,ecx
01cf|add edi,ecx
01d8|add eax,ebx
01d9|add ecx,ebx
01db|add ebx,ebx
01dc|add esp,ebx
01dd|add ebp,ebx
01de|add esi,ebx
01df|add edi,ebx
01e0|add eax,esp
01e1|add ecx,esp
01e3|add ebx,esp
01e4|add esp,esp
01e5|add ebp,esp
01e6|add esi,esp
01e7|add edi,esp
01e8|add eax,ebp
01e9|add ecx,ebp
01eb|add ebx,ebp
01ec|add esp,ebp
01ed|add ebp,ebp
01ee|add esi,ebp
01ef|add edi,ebp
01f0|add eax,esi
01f1|add ecx,esi
01f3|add ebx,esi
01f4|add esp,esi
01f5|add ebp,esi
01f6|add esi,esi
01f7|add edi,esi
01f8|add eax,edi
01f9|add ecx,edi
01fb|add ebx,edi
01fc|add esp,edi
01fd|add ebp,edi
01fe|add esi,edi
01ff|add edi,edi
0203|add al,[rbx]
020424|add al,[rsp]
02042500000000|add al,[0x0]
0206|add al,[rsi]
0207|add al,[rdi]
020b|add cl,[rbx]
020c24|add cl,[rsp]
020c2500000000|add cl,[0x0]
020e|add cl,[rsi]
020f|add cl,[rdi]
0213|add dl,[rbx]
021424|add dl,[rsp]
02142500000000|add dl,[0x0]
0216|add dl,[rsi]
0217|add dl,[rdi]
021b|add bl,[rbx]
021c24|add bl,[rsp]
021c2500000000|add bl,[0x0]
021e|add bl,[rsi]
021f|add bl,[rdi]
0223|add ah,[rbx]
022424|add ah,[rsp]
02242500000000|add ah,[0x0]
0226|add ah,[rsi]
0227|add ah,[rdi]
022b|add ch,[rbx]
022c24|add ch,[rsp]
022c2500000000|add ch,[0x0]
022e|add ch,[rsi]
022f|add ch,[rdi]
0233|add dh,[rbx]
023424|add dh,[rsp]
02342500000000|add dh,[0x0]
0236|add dh,[rsi]
0237|add dh,[rdi]
023b|add bh,[rbx]
023c24|add bh,[rsp]
023c2500000000|add bh,[0x0]
023e|add bh,[rsi]
023f|add bh,[rdi]
024500|add al,[rbp]
024d00|add cl,[rbp]
025500|add dl,[rbp]
025d00|add bl,[rbp]
026500|add ah,[rbp]
026d00|add ch,[rbp]
027500|add dh,[rbp]
027d00|add bh,[rbp]
0303|add eax,[rbx]
030424|add eax,[rsp]
03042500000000|add eax,[0x0]
0306|add eax,[rsi]
0307|add eax,[rdi]
030b|add ecx,[rbx]
030c24|add ecx,[rsp]
030c2500000000|add ecx,[0x0]
030e|add ecx,[rsi]
030f|add ecx,[rdi]
031b|add ebx,[rbx]
031c24|add ebx,[rsp]
031c2500000000|add ebx,[0x0]
031e|add ebx,[rsi]
031f|add ebx,[rdi]
0323|add esp,[rbx]
032424|add esp,[rsp]
03242500000000|add esp,[0x0]
0326|add esp,[rsi]
0327|add esp,[rdi]
032b|add ebp,[rbx]
032c24|add ebp,[rsp]
032c2500000000|add ebp,[0x0]
032e|add ebp,[rsi]
032f|add ebp,[rdi]
0333|add esi,[rbx]
033424|add esi,[rsp]
03342500000000|add esi,[0x0]
0336|add esi,[rsi]
0337|add esi,[rdi]
033b|add edi,[rbx]
033c24|add edi,[rsp]
033c2500000000|add edi,[0x0]
033e|add edi,[rsi]
033f|add edi,[rdi]
034500|add eax,[rbp]
034d00|add ecx,[rbp]
035d00|add ebx,[rbp]
036500|add esp,[rbp]
036d00|add ebp,[rbp]
037500|add esi,[rbp]
037d00|add edi,[rbp]
0400|add al,0x0
0803|or [rbx],al
080424|or [rsp],al
08042500000000|or [0x0],al
0806|or [rsi],al
0807|or [rdi],al
080b|or [rbx],cl
080c24|or [rsp],cl
080c2500000000|or [0x0],cl
080e|or [rsi],cl
080f|or [rdi],cl
0813|or [rbx],dl
081424|or [rsp],dl
08142500000000|or [0x0],dl
0816|or [rsi],dl
0817|or [rdi],dl
081b|or [rbx],bl
081c24|or [rsp],bl
081c2500000000|or [0x0],bl
081e|or [rsi],bl
081f|or [rdi],bl
0823|or [rbx],ah
082424|or [rsp],ah
08242500000000|or [0x0],ah
0826|or [rsi],ah
0827|or [rdi],ah
082b|or [rbx],ch
082c24|or [rsp],ch
082c2500000000|or [0x0],ch
082e|or [rsi],ch
082f|or [rdi],ch
0833|or [rbx],dh
083424|or [rsp],dh
08342500000000|or [0x0],dh
0836|or [rsi],dh
0837|or [rdi],dh
083b|or [rbx],bh
083c24|or [rsp],bh
083c2500000000|or [0x0],bh
083e|or [rsi],bh
083f|or [rdi],bh
084500|or [rbp],al
084d00|or [rbp],cl
085500|or [rbp],dl
085d00|or [rbp],bl
086500|or [rbp],ah
086d00|or [rbp],ch
087500|or [rbp],dh
087d00|or [rbp],bh
08c0|or al,al
08c1|or cl,al
08c2|or dl,al
08c3|or bl,al
08c4|or ah,al
08c5|or ch,al
08c6|or dh,al
08c7|or bh,al
08c8|or al,cl
08c9|or cl,cl
08ca|or dl,cl
08cb|or bl,cl
08cc|or ah,cl
08cd|or ch,cl
08ce|or dh,cl
08cf|or bh,cl
08d0|or al,dl
08d1|or cl,dl
08d2|or dl,dl
08d3|or bl,dl
08d4|or ah,dl
08d5|or ch,dl
08d6|or dh,dl
08d7|or bh,dl
08d8|or al,bl
08d9|or cl,bl
08da|or dl,bl
08db|or bl,bl
08dc|or ah,bl
08dd|or ch,bl
08de|or dh,bl
08df|or bh,bl
08e0|or al,ah
08e1|or cl,ah
08e2|or dl,ah
08e3|or bl,ah
08e4|or ah,ah
08e5|or ch,ah
08e6|or dh,ah
08e7|or bh,ah
08e8|or al,ch
08e9|or cl,ch
08ea|or dl,ch
08eb|or bl,ch
08ec|or ah,ch
08ed|or ch,ch
08ee|or dh,ch
08ef|or bh,ch
08f0|or al,dh
08f1|or cl,dh
08f2|or dl,dh
08f3|or bl,dh
08f4|or ah,dh
08f5|or ch,dh
08f6|or dh,dh
08f7|or bh,dh
08f8|or al,bh
08f9|or cl,bh
08fa|or dl,bh
08fb|or bl,bh
08fc|or ah,bh
08fd|or ch,bh
08fe|or dh,bh
08ff|or bh,bh
0903|or [rbx],eax
090424|or [rsp],eax
09042500000000|or [0x0],eax
0906|or [rsi],eax
0907|or [rdi],eax
090b|or [rbx],ecx
090c24|or [rsp],ecx
090c2500000000|or [0x0],ecx
090e|or [rsi],ecx
090f|or [rdi],ecx
091b|or [rbx],ebx
091c24|or [rsp],ebx
091c2500000000|or [0x0],ebx
091e|or [rsi],ebx
091f|or [rdi],ebx
0923|or [rbx],esp
092424|or [rsp],esp
09242500000000|or [0x0],esp
0926|or [rsi],esp
0927|or [rdi],esp
092b|or [rbx],ebp
092c24|or [rsp],ebp
092c2500000000|or [0x0],ebp
092e|or [rsi],ebp
092f|or [rdi],ebp
0933|or [rbx],esi
093424|or [rsp],esi
09342500000000|or [0x0],esi
0936|or [rsi],esi
0937|or [rdi],esi
093b|or [rbx],edi
093c24|or [rsp],edi
093c2500000000|or [0x0],edi
093e|or [rsi],edi
093f|or [rdi],edi
094500|or [rbp],eax
094d00|or [rbp],ecx
095d00|or [rbp],ebx
096500|or [rbp],esp
096d00|or [rbp],ebp
097500|or [rbp],esi
097d00|or [rbp],edi
09c0|or eax,eax
09c1|or ecx,eax
09c3|or ebx,eax
09c4|or esp,eax
09c5|or ebp,eax
09c6|or esi,eax
09c7|or edi,eax
09c8|or eax,ecx
09c9|or ecx,ecx
09cb|or ebx,ecx
09cc|or esp,ecx
09cd|or ebp,ecx
09ce|or esi,ecx
09cf|or edi,ecx
09d8|or eax,ebx
09d9|or ecx,ebx
09db|or ebx,ebx
09dc|or esp,ebx
09dd|or ebp,ebx
09de|or esi,ebx
09df|or edi,ebx
09e0|or eax,esp
09e1|or ecx,esp
09e3|or ebx,esp
09e4|or esp,esp
09e5|or ebp,esp
09e6|or esi,esp
09e7|or edi,esp
09e8|or eax,ebp
09e9|or ecx,ebp
09eb|or ebx,ebp
09ec|or esp,ebp
09ed|or ebp,ebp
09ee|or esi,ebp
09ef|or edi,ebp
09f0|or eax,esi
09f1|or ecx,esi
09f3|or ebx,esi
09f4|or esp,esi
09f5|or ebp,esi
09f6|or esi,esi
09f7|or edi,esi
09f8|or eax,edi
09f9|or ecx,edi
09fb|or ebx,edi
09fc|or esp,edi
09fd|or ebp,edi
09fe|or esi,edi
09ff|or edi,edi
0a03|or al,[rbx]
0a0424|or al,[rsp]
0a042500000000|or al,[0x0]
0a06|or al,[rsi]
0a07|or al,[rdi]
0a0b|or cl,[rbx]
0a0c24|or cl,[rsp]
0a0c2500000000|or cl,[0x0]
0a0e|or cl,[rsi]
0a0f|or cl,[rdi]
0a13|or dl,[rbx]
0a1424|or dl,[rsp]
0a142500000000|or dl,[0x0]
0a16|or dl,[rsi]
0a17|or dl,[rdi]
0a1b|or bl,[rbx]
0a1c24|or bl,[rsp]
0a1c2500000000|or bl,[0x0]
0a1e|or bl,[rsi]
0a1f|or bl,[rdi]
0a23|or ah,[rbx]
0a2424|or ah,[rsp]
0a242500000000|or ah,[0x0]
0a26|or ah,[rsi]
0a27|or ah,[rdi]
0a2b|or ch,[rbx]
0a2c24|or ch,[rsp]
0a2c2500000000|or ch,[0x0]
0a2e|or ch,[rsi]
0a2f|or ch,[rdi]
0a33|or dh,[rbx]
0a3424|or dh,[rsp]
0a342500000000|or dh,[0x0]
0a36|or dh,[rsi]
0a37|or dh,[rdi]
0a3b|or bh,[rbx]
0a3c24|or bh,[rsp]
0a3c2500000000|or bh,[0x0]
0a3e|or bh,[rsi]
0a3f|or bh,[rdi]
0a4500|or al,[rbp]
0a4d00|or cl,[rbp]
0a5500|or dl,[rbp]
0a5d00|or bl,[rbp]
0a6500|or ah,[rbp]
0a6d00|or ch,[rbp]
0a7500|or dh,[rbp]
0a7d00|or bh,[rbp]
0b03|or eax,[rbx]
0b0424|or eax,[rsp]
0b042500000000|or eax,[0x0]
0b06|or eax,[rsi]
0b07|or eax,[rdi]
0b0b|or ecx,[rbx]
0b0c24|or ecx,[rsp]
0b0c2500000000|or ecx,[0x0]
0b0e|or ecx,[rsi]
0b0f|or ecx,[rdi]
0b1b|or ebx,[rbx]
0b1c24|or ebx,[rsp]
0b1c2500000000|or ebx,[0x0]
0b1e|or ebx,[rsi]
0b1f|or ebx,[rdi]
0b23|or esp,[rbx]
0b2424|or esp,[rsp]
0b242500000000|or esp,[0x0]
0b26|or esp,[rsi]
0b27|or esp,[rdi]
0b2b|or ebp,[rbx]
0b2c24|or ebp,[rsp]
0b2c2500000000|or ebp,[0x0]
0b2e|or ebp,[rsi]
0b2f|or ebp,[rdi]
0b33|or esi,[rbx]
0b3424|or esi,[rsp]
0b342500000000|or esi,[0x0]
0b36|or esi,[rsi]
0b37|or esi,[rdi]
0b3b|or edi,[rbx]
0b3c24|or edi,[rsp]
0b3c2500000000|or edi,[0x0]
0b3e|or edi,[rsi]
0b3f|or edi,[rdi]
0b4500|or eax,[rbp]
0b4d00|or ecx,[rbp]
0b5d00|or ebx,[rbp]
0b6500|or esp,[rbp]
0b6d00|or ebp,[rbp]
0b7500|or esi,[rbp]
0b7d00|or edi,[rbp]
0c00|or al,0x0
 0f0003|sldt [rbx] 
 0f000424|sldt [rsp] 
 0f00042500000000|sldt [0x0] 
 0f0006|sldt [rsi] 
 0f0007|sldt [rdi] 
 0f000b|str [rbx] 
 0f000c24|str [rsp] 
 0f000c2500000000|str [0x0] 
 0f000e|str [rsi] 
 0f000f|str [rdi] 
 0f0013|lldt [rbx] 
 0f001424|lldt [rsp] 
 0f00142500000000|lldt [0x0] 
 0f0016|lldt [rsi] 
 0f0017|lldt [rdi] 
 0f001b|ltr [rbx] 
 0f001c24|ltr [rsp] 
 0f001c2500000000|ltr [0x0] 
 0f001e|ltr [rsi] 
 0f001f|ltr [rdi] 
 0f0023|verr [rbx] 
 0f002424|verr [rsp] 
 0f00242500000000|verr [0x0] 
 0f0026|verr [rsi] 
 0f0027|verr [rdi] 
 0f002b|verw [rbx] 
 0f002c24|verw [rsp] 
 0f002c2500000000|verw [0x0] 
 0f002e|verw [rsi] 
 0f002f|verw [rdi] 
 0f004500|sldt [rbp] 
 0f004d00|str [rbp] 
 0f005500|lldt [rbp] 
 0f005d00|ltr [rbp] 
 0f006500|verr [rbp] 
 0f006d00|verw [rbp] 
 0f00c0|sldt eax 
 0f00c0|sldt rax 
 0f00c1|sldt ecx 
 0f00c1|sldt rcx 
 0f00c3|sldt ebx 
 0f00c3|sldt rbx 
 0f00c4|sldt esp 
 0f00c4|sldt rsp 
 0f00c5|sldt ebp 
 0f00c5|sldt rbp 
 0f00c6|sldt esi 
 0f00c6|sldt rsi 
 0f00c7|sldt edi 
 0f00c7|sldt rdi 
 0f00c8|str eax 
 0f00c9|str ecx 
 0f00cb|str ebx 
 0f00cc|str esp 
 0f00cd|str ebp 
 0f00ce|str esi 
 0f00cf|str edi 
 0f00d0|lldt ax 
 0f00d1|lldt cx 
 0f00d2|lldt dx 
 0f00d3|lldt bx 
 0f00d4|lldt sp 
 0f00d5|lldt bp 
 0f00d6|lldt si 
 0f00d7|lldt di 
 0f00d8|ltr ax 
 0f00d9|ltr cx 
 0f00da|ltr dx 
 0f00db|ltr bx 
 0f00dc|ltr sp 
 0f00dd|ltr bp 
 0f00de|ltr si 
 0f00df|ltr di 
 0f00e0|verr ax 
 0f00e1|verr cx 
 0f00e2|verr dx 
 0f00e3|verr bx 
 0f00e4|verr sp 
 0f00e5|verr bp 
 0f00e6|verr si 
 0f00e7|verr di 
 0f00e8|verw ax 
 0f00e9|verw cx 
 0f00ea|verw dx 
 0f00eb|verw bx 
 0f00ec|verw sp 
 0f00ed|verw bp 
 0f00ee|verw si 
 0f00ef|verw di 
 0f0103|sgdt [rbx] 
 0f010424|sgdt [rsp] 
 0f01042500000000|sgdt [0x0] 
 0f0106|sgdt [rsi] 
 0f0107|sgdt [rdi] 
 0f010b|sidt [rbx] 
 0f010c24|sidt [rsp] 
 0f010c2500000000|sidt [0x0] 
 0f010e|sidt [rsi] 
 0f010f|sidt [rdi] 
 0f0113|lgdt [rbx] 
 0f0113|lgdt [rbx] 
 0f011424|lgdt [rsp] 
 0f011424|lgdt [rsp] 
 0f01142500000000|lgdt [0x0] 
 0f01142500000000|lgdt [0x0] 
 0f0116|lgdt [rsi] 
 0f0116|lgdt [rsi] 
 0f0117|lgdt [rdi] 
 0f0117|lgdt [rdi] 
 0f011b|lidt [rbx] 
 0f011c24|lidt [rsp] 
 0f011c2500000000|lidt [0x0] 
 0f011e|lidt [rsi] 
 0f011f|lidt [rdi] 
 0f0133|lmsw [rbx] 
 0f013424|lmsw [rsp] 
 0f01342500000000|lmsw [0x0] 
 0f0136|lmsw [rsi] 
 0f0137|lmsw [rdi] 
 0f014500|sgdt [rbp] 
 0f014d00|sidt [rbp] 
 0f015500|lgdt [rbp] 
 0f015500|lgdt [rbp] 
 0f015d00|lidt [rbp] 
 0f017500|lmsw [rbp] 
 0f01f0|lmsw ax 
 0f01f1|lmsw cx 
 0f01f2|lmsw dx 
 0f01f3|lmsw bx 
 0f01f4|lmsw sp 
 0f01f5|lmsw bp 
 0f01f6|lmsw si 
 0f01f7|lmsw di 
0f0303|lsl eax,[rbx]
0f030424|lsl eax,[rsp]
0f03042500000000|lsl eax,[0x0]
0f0306|lsl eax,[rsi]
0f0307|lsl eax,[rdi]
0f030b|lsl ecx,[rbx]
0f030c24|lsl ecx,[rsp]
0f030c2500000000|lsl ecx,[0x0]
0f030e|lsl ecx,[rsi]
0f030f|lsl ecx,[rdi]
0f031b|lsl ebx,[rbx]
0f031c24|lsl ebx,[rsp]
0f031c2500000000|lsl ebx,[0x0]
0f031e|lsl ebx,[rsi]
0f031f|lsl ebx,[rdi]
0f0323|lsl esp,[rbx]
0f032424|lsl esp,[rsp]
0f03242500000000|lsl esp,[0x0]
0f0326|lsl esp,[rsi]
0f0327|lsl esp,[rdi]
0f032b|lsl ebp,[rbx]
0f032c24|lsl ebp,[rsp]
0f032c2500000000|lsl ebp,[0x0]
0f032e|lsl ebp,[rsi]
0f032f|lsl ebp,[rdi]
0f0333|lsl esi,[rbx]
0f033424|lsl esi,[rsp]
0f03342500000000|lsl esi,[0x0]
0f0336|lsl esi,[rsi]
0f0337|lsl esi,[rdi]
0f033b|lsl edi,[rbx]
0f033c24|lsl edi,[rsp]
0f033c2500000000|lsl edi,[0x0]
0f033e|lsl edi,[rsi]
0f033f|lsl edi,[rdi]
0f034500|lsl eax,[rbp]
0f034d00|lsl ecx,[rbp]
0f035d00|lsl ebx,[rbp]
0f036500|lsl esp,[rbp]
0f036d00|lsl ebp,[rbp]
0f037500|lsl esi,[rbp]
0f037d00|lsl edi,[rbp]
0f03c0|lsl eax,ax
0f03c0|lsl eax,eax
0f03c0|lsl eax,rax
0f03c1|lsl eax,cx
0f03c1|lsl eax,ecx
0f03c1|lsl eax,rcx
0f03c2|lsl eax,dx
0f03c3|lsl eax,bx
0f03c3|lsl eax,ebx
0f03c3|lsl eax,rbx
0f03c4|lsl eax,esp
0f03c4|lsl eax,rsp
0f03c4|lsl eax,sp
0f03c5|lsl eax,bp
0f03c5|lsl eax,ebp
0f03c5|lsl eax,rbp
0f03c6|lsl eax,esi
0f03c6|lsl eax,rsi
0f03c6|lsl eax,si
0f03c7|lsl eax,di
0f03c7|lsl eax,edi
0f03c7|lsl eax,rdi
0f03c8|lsl ecx,ax
0f03c8|lsl ecx,eax
0f03c8|lsl ecx,rax
0f03c9|lsl ecx,cx
0f03c9|lsl ecx,ecx
0f03c9|lsl ecx,rcx
0f03ca|lsl ecx,dx
0f03cb|lsl ecx,bx
0f03cb|lsl ecx,ebx
0f03cb|lsl ecx,rbx
0f03cc|lsl ecx,esp
0f03cc|lsl ecx,rsp
0f03cc|lsl ecx,sp
0f03cd|lsl ecx,bp
0f03cd|lsl ecx,ebp
0f03cd|lsl ecx,rbp
0f03ce|lsl ecx,esi
0f03ce|lsl ecx,rsi
0f03ce|lsl ecx,si
0f03cf|lsl ecx,di
0f03cf|lsl ecx,edi
0f03cf|lsl ecx,rdi
0f03d8|lsl ebx,ax
0f03d8|lsl ebx,eax
0f03d8|lsl ebx,rax
0f03d9|lsl ebx,cx
0f03d9|lsl ebx,ecx
0f03d9|lsl ebx,rcx
0f03da|lsl ebx,dx
0f03db|lsl ebx,bx
0f03db|lsl ebx,ebx
0f03db|lsl ebx,rbx
0f03dc|lsl ebx,esp
0f03dc|lsl ebx,rsp
0f03dc|lsl ebx,sp
0f03dd|lsl ebx,bp
0f03dd|lsl ebx,ebp
0f03dd|lsl ebx,rbp
0f03de|lsl ebx,esi
0f03de|lsl ebx,rsi
0f03de|lsl ebx,si
0f03df|lsl ebx,di
0f03df|lsl ebx,edi
0f03df|lsl ebx,rdi
0f03e0|lsl esp,ax
0f03e0|lsl esp,eax
0f03e0|lsl esp,rax
0f03e1|lsl esp,cx
0f03e1|lsl esp,ecx
0f03e1|lsl esp,rcx
0f03e2|lsl esp,dx
0f03e3|lsl esp,bx
0f03e3|lsl esp,ebx
0f03e3|lsl esp,rbx
0f03e4|lsl esp,esp
0f03e4|lsl esp,rsp
0f03e4|lsl esp,sp
0f03e5|lsl esp,bp
0f03e5|lsl esp,ebp
0f03e5|lsl esp,rbp
0f03e6|lsl esp,esi
0f03e6|lsl esp,rsi
0f03e6|lsl esp,si
0f03e7|lsl esp,di
0f03e7|lsl esp,edi
0f03e7|lsl esp,rdi
0f03e8|lsl ebp,ax
0f03e8|lsl ebp,eax
0f03e8|lsl ebp,rax
0f03e9|lsl ebp,cx
0f03e9|lsl ebp,ecx
0f03e9|lsl ebp,rcx
0f03ea|lsl ebp,dx
0f03eb|lsl ebp,bx
0f03eb|lsl ebp,ebx
0f03eb|lsl ebp,rbx
0f03ec|lsl ebp,esp
0f03ec|lsl ebp,rsp
0f03ec|lsl ebp,sp
0f03ed|lsl ebp,bp
0f03ed|lsl ebp,ebp
0f03ed|lsl ebp,rbp
0f03ee|lsl ebp,esi
0f03ee|lsl ebp,rsi
0f03ee|lsl ebp,si
0f03ef|lsl ebp,di
0f03ef|lsl ebp,edi
0f03ef|lsl ebp,rdi
0f03f0|lsl esi,ax
0f03f0|lsl esi,eax
0f03f0|lsl esi,rax
0f03f1|lsl esi,cx
0f03f1|lsl esi,ecx
0f03f1|lsl esi,rcx
0f03f2|lsl esi,dx
0f03f3|lsl esi,bx
0f03f3|lsl esi,ebx
0f03f3|lsl esi,rbx
0f03f4|lsl esi,esp
0f03f4|lsl esi,rsp
0f03f4|lsl esi,sp
0f03f5|lsl esi,bp
0f03f5|lsl esi,ebp
0f03f5|lsl esi,rbp
0f03f6|lsl esi,esi
0f03f6|lsl esi,rsi
0f03f6|lsl esi,si
0f03f7|lsl esi,di
0f03f7|lsl esi,edi
0f03f7|lsl esi,rdi
0f03f8|lsl edi,ax
0f03f8|lsl edi,eax
0f03f8|lsl edi,rax
0f03f9|lsl edi,cx
0f03f9|lsl edi,ecx
0f03f9|lsl edi,rcx
0f03fa|lsl edi,dx
0f03fb|lsl edi,bx
0f03fb|lsl edi,ebx
0f03fb|lsl edi,rbx
0f03fc|lsl edi,esp
0f03fc|lsl edi,rsp
0f03fc|lsl edi,sp
0f03fd|lsl edi,bp
0f03fd|lsl edi,ebp
0f03fd|lsl edi,rbp
0f03fe|lsl edi,esi
0f03fe|lsl edi,rsi
0f03fe|lsl edi,si
0f03ff|lsl edi,di
0f03ff|lsl edi,edi
0f03ff|lsl edi,rdi
 0f06|clts 
 0f08|invd 
 0f09|wbinvd 
0f1003|umov [rbx],al
0f100424|umov [rsp],al
0f10042500000000|umov [0x0],al
0f1006|umov [rsi],al
0f1007|umov [rdi],al
0f100b|umov [rbx],cl
0f100c24|umov [rsp],cl
0f100c2500000000|umov [0x0],cl
0f100e|umov [rsi],cl
0f100f|umov [rdi],cl
0f1013|umov [rbx],dl
0f101424|umov [rsp],dl
0f10142500000000|umov [0x0],dl
0f1016|umov [rsi],dl
0f1017|umov [rdi],dl
0f101b|umov [rbx],bl
0f101c24|umov [rsp],bl
0f101c2500000000|umov [0x0],bl
0f101e|umov [rsi],bl
0f101f|umov [rdi],bl
0f1023|umov [rbx],ah
0f102424|umov [rsp],ah
0f10242500000000|umov [0x0],ah
0f1026|umov [rsi],ah
0f1027|umov [rdi],ah
0f102b|umov [rbx],ch
0f102c24|umov [rsp],ch
0f102c2500000000|umov [0x0],ch
0f102e|umov [rsi],ch
0f102f|umov [rdi],ch
0f1033|umov [rbx],dh
0f103424|umov [rsp],dh
0f10342500000000|umov [0x0],dh
0f1036|umov [rsi],dh
0f1037|umov [rdi],dh
0f103b|umov [rbx],bh
0f103c24|umov [rsp],bh
0f103c2500000000|umov [0x0],bh
0f103e|umov [rsi],bh
0f103f|umov [rdi],bh
0f104500|umov [rbp],al
0f104d00|umov [rbp],cl
0f105500|umov [rbp],dl
0f105d00|umov [rbp],bl
0f106500|umov [rbp],ah
0f106d00|umov [rbp],ch
0f107500|umov [rbp],dh
0f107d00|umov [rbp],bh
0f10c0|umov al,al
0f10c1|umov cl,al
0f10c2|umov dl,al
0f10c3|umov bl,al
0f10c4|umov ah,al
0f10c5|umov ch,al
0f10c6|umov dh,al
0f10c7|umov bh,al
0f10c8|umov al,cl
0f10c9|umov cl,cl
0f10ca|umov dl,cl
0f10cb|umov bl,cl
0f10cc|umov ah,cl
0f10cd|umov ch,cl
0f10ce|umov dh,cl
0f10cf|umov bh,cl
0f10d0|umov al,dl
0f10d1|umov cl,dl
0f10d2|umov dl,dl
0f10d3|umov bl,dl
0f10d4|umov ah,dl
0f10d5|umov ch,dl
0f10d6|umov dh,dl
0f10d7|umov bh,dl
0f10d8|umov al,bl
0f10d9|umov cl,bl
0f10da|umov dl,bl
0f10db|umov bl,bl
0f10dc|umov ah,bl
0f10dd|umov ch,bl
0f10de|umov dh,bl
0f10df|umov bh,bl
0f10e0|umov al,ah
0f10e1|umov cl,ah
0f10e2|umov dl,ah
